ax,ay,az
0.85,2.00,1.70
-0.51,1.99,2.00
-1.47,1.19,2.00
-2.00,0.02,2.00
-2.00,-0.13,1.51
-1.81,0.06,0.66
-0.57,0.10,-1.51
1.36,0.51,-2.00
1.66,1.48,-2.00
2.00,1.80,-2.00
2.00,1.86,-1.29
0.70,2.00,1.85
-0.53,1.97,2.00
-1.46,1.21,2.00
-2.00,0.09,2.00
-2.00,-0.19,1.59
-1.86,0.08,0.83
-0.90,0.17,-0.97
0.87,0.34,-2.00
1.61,1.25,-2.00
2.00,1.67,-2.00
2.00,1.83,-2.00
1.55,2.00,1.01
-0.31,2.00,2.00
-1.00,1.52,2.00
-1.83,0.57,2.00
-2.00,-0.20,1.83
-2.00,-0.02,1.29
-1.66,0.15,0.29
-0.31,0.05,-1.88
1.39,0.54,-2.00
1.62,1.50,-2.00
2.00,1.79,-2.00
2.00,1.86,-1.72
1.16,2.00,1.48
-0.44,2.00,2.00
-1.14,1.42,2.00
-1.94,0.34,2.00
-2.00,-0.22,1.70
-2.00,0.01,1.17
-1.47,0.17,-0.00
0.03,0.05,-2.00
1.56,0.75,-2.00
1.81,1.56,-2.00
2.00,1.86,-2.00
2.00,1.95,-0.69
0.30,2.00,2.00
-0.65,1.87,2.00
-1.55,1.06,2.00
-2.00,-0.05,2.00
-2.00,-0.10,1.52
-1.78,0.10,0.64
-0.59,0.12,-1.44
1.27,0.48,-2.00
1.61,1.41,-2.00
2.00,1.79,-2.00
2.00,1.84,-1.50
0.89,2.00,1.70
-0.47,2.00,2.00
-1.36,1.24,2.00
-2.00,0.13,2.00
-2.00,-0.24,1.61
-1.91,0.07,0.88
-0.93,0.18,-0.89
0.88,0.31,-2.00
1.61,1.26,-2.00
2.00,1.70,-2.00
2.00,1.84,-2.00
1.33,2.00,1.29
-0.40,2.00,2.00
-1.18,1.39,2.00
-2.00,0.23,2.00
-2.00,-0.23,1.66
-1.94,0.04,0.96
-1.00,0.22,-0.81
0.85,0.32,-2.00
1.60,1.25,-2.00
2.00,1.72,-2.00
2.00,1.81,-1.88
1.08,2.00,1.56
-0.43,2.00,2.00
-1.38,1.28,2.00
-2.00,0.10,2.00
-2.00,-0.20,1.62
-1.82,0.09,0.79
-0.78,0.16,-1.18
1.14,0.42,-2.00
1.59,1.37,-2.00
0.54,2.00,1.96
-0.64,1.86,2.00
-1.70,0.93,2.00
-2.00,-0.11,2.00
-2.00,-0.01,1.30
-1.43,0.21,-0.04
0.39,0.08,-2.00
1.52,1.06,-2.00
2.00,1.68,-2.00
2.00,1.84,-1.63
0.62,2.00,1.91
-0.68,1.83,2.00
-1.83,0.77,2.00
-2.00,-0.17,1.83
-1.96,0.05,1.08
-0.99,0.18,-0.87
1.12,0.40,-2.00
1.69,1.39,-2.00
2.00,1.79,-2.00
2.00,2.00,0.11
-0.23,2.00,2.00
-1.20,1.40,2.00
-2.00,0.10,2.00
-2.00,-0.07,1.58
-1.71,0.18,0.41
-0.00,-0.00,-2.00
1.50,0.89,-2.00
2.00,1.63,-2.00
2.00,1.84,-1.90
0.76,2.00,1.81
-0.60,1.87,1.99
-1.73,0.89,2.00
-2.00,-0.14,1.95
-2.00,0.02,1.20
-1.28,0.25,-0.43
0.74,0.26,-2.00
1.62,1.30,-2.00
2.00,1.71,-2.00
2.00,1.93,-0.95
0.18,2.00,2.00
-0.84,1.65,2.00
-1.91,0.59,2.00
-2.00,-0.16,1.73
-1.96,0.08,1.02
-0.88,0.15,-1.07
1.25,0.43,-2.00
1.69,1.43,-2.00
2.00,1.81,-2.00
2.00,2.00,0.06
-0.22,2.00,2.00
-1.14,1.45,2.00
-2.00,0.29,2.00
-2.00,-0.12,1.66
-1.83,0.09,0.78
-0.64,0.12,-1.48
1.38,0.52,-2.00
1.79,1.47,-2.00
2.00,1.82,-2.00
2.00,2.00,-0.09
-0.10,2.00,2.00
-1.01,1.53,2.00
-1.96,0.49,2.00
-2.00,-0.16,1.73
-1.95,0.03,0.98
-1.00,0.18,-0.82
0.97,0.36,-2.00
1.62,1.34,-2.00
2.00,1.79,-2.00
2.00,1.89,-1.15
0.47,2.00,2.00
-0.62,1.84,2.00
-1.65,0.96,2.00
-2.00,-0.04,2.00
-2.00,-0.08,1.43
-1.66,0.15,0.32
-0.13,0.00,-2.00
1.60,0.70,-2.00
1.87,1.54,-2.00
2.00,1.87,-2.00
2.00,2.00,-0.04
-0.06,2.00,2.00
-0.91,1.61,2.00
-1.84,0.67,2.00
-2.00,-0.11,1.87
-2.00,0.02,1.19
-1.37,0.21,-0.22
0.44,0.09,-2.00
1.60,1.04,-2.00
2.00,1.63,-2.00
2.00,1.84,-2.00
1.27,2.00,1.34
-0.41,2.00,2.00
-1.38,1.29,2.00
-2.00,0.08,2.00
-2.00,-0.14,1.56
-1.82,0.11,0.59
-0.27,0.00,-2.00
1.53,0.68,-2.00
1.91,1.51,-2.00
2.00,1.80,-2.00
1.35,2.00,1.30
-0.40,2.00,2.00
-1.55,1.16,2.00
-2.00,-0.02,2.00
-2.00,-0.01,1.30
-1.39,0.23,-0.21
0.68,0.20,-2.00
1.59,1.22,-2.00
2.00,1.74,-2.00
2.00,1.93,-0.93
0.15,2.00,2.00
-0.85,1.63,2.00
-1.92,0.58,2.00
-2.00,-0.15,1.75
-1.97,0.04,0.98
-0.96,0.15,-0.92
1.08,0.39,-2.00
1.62,1.39,-2.00
2.00,1.77,-2.00
2.00,1.94,-0.92
0.27,2.00,2.00
-0.73,1.76,2.00
-1.76,0.80,2.00
-2.00,-0.15,1.91
-2.00,0.04,1.25
-1.46,0.18,-0.03
0.25,0.06,-2.00
1.54,0.90,-2.00
2.00,1.60,-2.00
2.00,1.86,-2.00
-1.32,1.31,2.00
-2.00,0.11,2.00
-2.00,-0.16,1.58
-1.79,0.11,0.65
-0.46,0.08,-1.72
1.42,0.58,-2.00
1.80,1.46,-2.00
2.00,1.80,-2.00
2.00,2.00,0.10
-0.13,2.00,2.00
-1.01,1.56,2.00
-1.97,0.46,2.00
-2.00,-0.21,1.73
-1.98,0.00,1.07
-1.09,0.25,-0.63
0.76,0.25,-2.00
1.60,1.21,-2.00
2.00,1.68,-2.00
2.00,1.80,-2.00
1.19,2.00,1.43
-0.42,2.00,2.00
-1.34,1.33,2.00
-2.00,0.15,2.00
-2.00,-0.20,1.63
-1.86,0.06,0.78
-0.78,0.15,-1.20
1.24,0.48,-2.00
1.62,1.43,-2.00
2.00,1.78,-2.00
2.00,1.90,-0.97
0.32,2.00,2.00
-0.70,1.80,2.00
-1.78,0.83,2.00
-2.00,-0.16,1.92
-2.00,-0.01,1.28
-1.43,0.22,-0.07
0.35,0.07,-2.00
1.55,1.03,-2.00
2.00,1.65,-2.00
2.00,1.84,-2.00
0.95,2.00,1.64
-0.52,1.98,2.00
-1.58,1.11,2.00
-2.00,-0.01,2.00
-2.00,-0.02,1.36
-1.54,0.17,0.08
0.24,0.05,-2.00
1.52,1.00,-2.00
2.00,1.61,-2.00
2.00,1.83,-1.94
0.88,2.00,1.74
-0.54,1.95,2.00
-1.61,1.09,2.00
-2.00,-0.02,2.00
-2.00,-0.00,1.38
-1.53,0.19,0.12
0.23,0.05,-2.00
1.51,0.99,-2.00
2.00,1.63,-2.00
2.00,1.85,-1.84
0.80,2.00,1.78
-0.58,1.93,2.00
-1.67,0.98,2.00
-2.00,-0.09,1.99
-2.00,-0.02,1.26
-1.40,0.20,-0.17
0.51,0.14,-2.00
1.58,1.14,-2.00
2.00,1.65,-2.00
2.00,1.84,-1.80
0.89,2.00,1.72
-0.55,1.98,2.00
-1.52,1.15,2.00
-2.00,0.01,2.00
-2.00,-0.11,1.49
-1.76,0.15,0.49
-0.28,0.03,-1.96
1.50,0.62,-2.00
1.84,1.48,-2.00
2.00,1.85,-2.00
2.00,2.00,-0.07
-0.09,2.00,2.00
-0.92,1.59,2.00
-1.85,0.62,2.00
-2.00,-0.16,1.81
-2.00,0.07,1.21
-1.42,0.21,-0.07
0.19,0.06,-2.00
1.59,0.81,-2.00
1.89,1.57,-2.00
2.00,1.88,-2.00
2.00,2.00,-0.09
-0.02,2.00,2.00
-0.83,1.70,2.00
-1.77,0.80,2.00
-2.00,-0.13,1.97
-2.00,-0.04,1.34
-1.62,0.15,0.33
-0.17,0.02,-2.00
1.50,0.65,-2.00
1.80,1.51,-2.00
2.00,1.85,-2.00
2.00,1.96,-0.61
0.28,2.00,2.00
-0.65,1.86,2.00
-1.62,0.99,2.00
-2.00,-0.04,2.00
-2.00,-0.09,1.44
-1.73,0.10,0.45
-0.33,0.00,-1.91
1.47,0.60,-2.00
1.78,1.53,-2.00
2.00,1.86,-2.00
2.00,1.95,-0.66
0.22,2.00,2.00
-0.70,1.79,2.00
-1.67,0.98,2.00
-2.00,-0.06,2.00
-2.00,-0.10,1.45
-1.74,0.10,0.51
-0.50,0.12,-1.61
1.35,0.50,-2.00
1.63,1.48,-2.00
2.00,1.80,-2.00
2.00,1.83,-1.55
0.94,2.00,1.63
-0.48,2.00,2.00
-1.30,1.32,2.00
-2.00,0.18,2.00
-0.86,0.20,-0.99
0.91,0.32,-2.00
1.57,1.25,-2.00
2.00,1.66,-2.00
2.00,1.82,-2.00
1.37,2.00,1.25
-0.36,2.00,2.00
-1.22,1.38,2.00
-2.00,0.21,2.00
-2.00,-0.22,1.64
-1.92,0.08,0.96
-0.97,0.27,-0.77
0.81,0.28,-2.00
1.55,1.17,-2.00
2.00,1.65,-2.00
2.00,1.83,-2.00
1.34,2.00,1.29
-0.39,2.00,2.00
-1.22,1.39,2.00
-2.00,0.22,2.00
-2.00,-0.23,1.67
-1.93,0.09,0.98
-1.02,0.25,-0.74
0.82,0.28,-2.00
1.56,1.20,-2.00
2.00,1.69,-2.00
2.00,1.84,-2.00
1.39,2.00,1.26
-0.41,2.00,2.00
-1.17,1.46,2.00
-2.00,0.33,2.00
-2.00,-0.21,1.71
-1.99,0.02,1.16
-1.40,0.21,-0.14
0.17,0.06,-2.00
1.58,0.76,-2.00
1.85,1.57,-2.00
2.00,1.86,-2.00
2.00,1.97,-0.40
0.15,2.00,2.00
-0.72,1.77,2.00
-1.65,0.95,2.00
-2.00,-0.04,2.00
-2.00,-0.12,1.47
-1.77,0.13,0.58
-0.57,0.14,-1.48
1.25,0.47,-2.00
1.58,1.42,-2.00
